MOF	molecule	H	1	2	3	4	5	6	7	8	9	10	average
ABUWOJ	1-butene	49.84092554	46.84831325458129	44.77361944881843	44.20212502873065	45.83509075764109	46.2693836403083	43.64594593888163	45.034387420156165	45.59423808915619	44.992708513553104	44.42318376909198	45.161899586091884
ABUWOJ	1-methyl-3-buten-1-ol	71.01750126	65.32739949155128	64.02080835259787	64.63757815444258	60.319543085170054	61.297865983968634	63.85741809401684	61.456155105110696	65.02169854847754	63.74391498609108	62.052138204679444	63.173452000610595
ABUWOJ	1,3,5-heptatriene	78.65739279	83.00805916171703	81.48593470720371	81.69985430417924	81.17821575048828	82.2641390605985	82.8106711292961	81.90983093086317	80.42738154290392	81.65676924205505	82.84681035922125	81.92876661885262
ABUWOJ	2-hexene	71.26501267	65.85712810518005	66.05749409177669	64.91772532772163	63.08528876736048	64.72347465649084	65.48009852172864	66.6205055564992	63.944100883984014	66.03240741673363	64.96164563499468	65.167986896247
ABUWOJ	2-methylpentane	70.35600739	68.45539528526761	66.59706598353145	68.34714439533876	68.41683014203643	68.43611570796652	65.58641374501984	68.63987863946475	68.46299275677997	68.49816817047214	68.52230178785416	67.99623066137318
ABUWOJ	2,2-dimethylbutane	61.82524824	62.02150773579321	60.98765062141155	62.046667698335675	62.2978702585383	62.17354672024962	61.04866399724263	63.74654623161977	61.26153153352308	60.911138856456404	61.86907276386201	61.83641964170323
ABUWOJ	4-methyl-4-pentenal	77.83868548	79.4316607835428	78.79441000123173	79.89493251915508	80.08769165793476	79.18850583154739	77.6980320990912	81.58493905392264	80.90901502883229	76.54722365814501	79.81178320952192	79.39481938429248
ABUWOJ	5-hexen-2-one	80.7995718	82.4212643966843	83.28049475479325	82.54835919440193	82.88872136462624	82.30587828221283	80.76156832472833	82.25964030639017	83.92898196051871	79.60440180323866	81.78588233268593	82.17851927202804
ABUWOJ	dimethylethylamine	63.92069909	54.41390070114045	55.70162611290972	55.03881962550672	55.42396494445458	57.41489268033813	58.6764928366583	57.15802688456995	56.91578644984976	55.392665186995444	56.990303521244115	56.31264789436672
ABUWOJ	isobutene	49.44510589	47.765627107175476	46.55841351312423	47.05348150717874	47.116418907697046	47.77701654635579	45.007481877896964	46.17641460753004	46.30900237543293	46.11685718619604	45.026403651475135	46.49071172800624
