MOF	molecule	H	predict
PUSDOX	propene	30.9083462	30.95182430404229
FIJCUX	propyl alcohol	46.37443404	46.31927637868655
FEWGUL	isopentane	66.91320894	66.78733597914022
VUQKUO	3-methylpentane	58.74111801	58.86532526944287
PAPXUB	isopropyl alcohol	57.03053152	57.0087129742448
PEVPUD	2-pentene	25.09066688	25.09456029373277
IXISOX	4-hexen-2-one	89.37714918	89.32655845246089
YUJNOH	ethylamine	76.04072137	75.97759225015582
YAZFOW	propane	37.03321674	37.03585083970845
BEPMIU	ethylamine	35.11176762	35.05914017724477
AROFET	acetaldehyde	55.05294519	54.97744762050939
QARTEK	2,3-dimethylbutane	65.79660034	65.61607707764772
VEJYUF01	1,5-heptadiene	5.708363528	5.730698322460874
BUVYEX	3-methylpentane	57.18365469	57.18388172276084
XADGAM	dimethylamine	52.43248229	52.63620456101812
SENWAL	3-methylpentane	32.44173993	32.48917749284504
ANUGIA	4,4-dimethyl-1-pentene	45.01838267	45.0116106034048
NUVWIL	acetaldehyde	26.83887306	26.834899210195843
SUJREV	propyl alcohol	56.70466344	56.609231901591954
EBEMII	isopentane	58.64556349	58.88550132243584
LABJUV	4-methyl-1-hexene	71.71015799	71.7222606262263
CUNFOH01	propene	19.9737093	20.017992358001685
AMIMEP	neopentane	49.81335346	49.97883837394754
IXOFIL	acetone	36.89302032	37.01476551618594
LAWGOG	isobutane	23.08113799	22.99872947998652
QUNMUI	3-methylpentane	53.57532035	53.6152871280416
XIDBUJ	dimethylamine	51.67322143	51.65520467770157
LELMIA01	neopentane	51.95334802	52.01272352862523
VAHSIH	methyl tert-butyl ether	91.55194245	91.60164357668715
LIFWOO	dimethyl ether	46.66460338	46.67605148012628
RELLAW	propionitrile	42.02841028	41.80577805322731
HAFQUC	4,4-dimethyl-1-pentene	67.32062613	67.41483600693152
SAHYOQ04	1,5-heptadiene	34.64961011	34.63642832980604
IBICED	neopentane	33.62137963	33.701591784332265
FIJCUX	3-methylpentane	54.16401731	54.217860266515956
XEJTIR	1,5-heptadiene	5.192027334	5.100596952705743
PASKAX	acetaldehyde	60.08766119	60.13960399381132
BOJCIN	methyl propyl ketone	61.53806411	61.5540345119235
TETZID	4-methyl-1-hexene	81.61120674	81.62205179025906
GULPIN	ethane	34.42991359	34.38350557945473
PIHNUQ	2-pentene	50.4841021	50.57405240443998
DAJHUS	4-methyl-4-penten-2-one	-24.46617137	-24.52254828808473
QUPHUF	propane	48.10265712	47.950197332775566
UXUZAP	methyl tert-butyl ether	54.01701916	53.93379539315329
SAHYOQ03	isopropyl alcohol	26.16192886	26.218478948403327
PAMVEG	acetonitrile	35.93370858	35.8471414724415
NUYWOU	acetonitrile	60.06208924	60.23786593423165
IBUDOZ	isopentane	61.22455476	61.00717638652624
ICANAD	methyl tert-butyl ether	70.47172164	70.49210274723852
UXUZAP	dimethylamine	55.06250224	55.10182991847241
SUKYIH	acetaldehyde	31.93852791	31.925105436520052
KEWZOD	isobutane	37.70379248	37.69773336771703
TEVZEA	methyl isopropyl ether	49.260649799999996	49.35218309104206
NALWOO	1,5-heptadiene	53.45029627	53.57961270985352
LAVSUY	4-hexen-2-one	73.76861878	73.79319223071867
PUSDOX	neopentane	46.89188938	46.95704167449446
LAVSUY	methyl tert-butyl ether	60.33300404	60.378478777028086
LACJAC	methyl propyl ketone	71.43673445	71.3830004316543
SUJQOE	acetonitrile	47.07404062	47.126367327389396
GAXWEJ	1,5-heptadiene	72.46217574	72.45160474424836
CEGWER	acetone	79.51186285	79.38646509164636
ABUWOJ	acetone	52.54882685	52.45575289488399
RAXCOK	4-methyl-4-penten-2-one	64.74808979	64.82508790371713
TASXIW	3-methylpentane	59.94417523	59.84465924774362
HEXNII	propionitrile	49.90855944	49.90917719934048
PIFPIE	ethylamine	44.68890922	44.69895552272881
NUTQAV	4,4-dimethyl-1-pentene	48.62957461	48.54361046794286
FIRVEH	isobutane	48.67587576	48.71672921196758
AZIXUD	methyl propyl ether	50.92716514	50.998986724416596
VAGTUU	propane	45.16083822	45.15383909532419
ECODEG	isopentane	69.35343605	69.49885020233013
MAKXAZ	4-hexen-2-one	94.98696962	94.93961788657131
AMIMEP	isobutane	57.7794549	57.63227970961417
SEFBOV	acetonitrile	24.60094623	24.590924887778787
UXEQOE	2,3-dimethylbutane	38.33406223	38.35285475875514
XOJWEZ	ethane	33.34333715	33.26454324752574
GUYLUI	isobutane	56.39863772	56.2478865678959
PEGBUA	methyl propyl ether	43.9290368	43.96913169333571
QARTEK	4-methyl-4-penten-2-one	67.39977748	67.31926179917086
OHOLIH	isopropyl alcohol	53.04095865	53.05362513783186
XUNGUJ	2,3-dimethylbutane	59.48119919	59.55938265451746
GUFREF	acetone	68.87620626	68.7247095264401
KAXQOR01	4-hexen-2-one	100.9432584	100.84474547230246
KIYMAI	acetone	67.85681464	67.82492594908007
QUGNOV	ethene	21.33782388	21.311610765146316
GEDLIM	isobutane	48.70201898	48.95570616722027
FUNBOG	propene	35.82014432	35.70420091729987
KEXKEF	propane	-5.574763764	-5.6574803890384215
GOMRAC	propionitrile	73.26646088	73.2256497462753
QURSEC	4-methyl-4-penten-2-one	94.97156118	95.01495289669951
YAZFOW	isobutane	44.73919839	44.7597880838354
ELAFUT	dimethylamine	64.59034985	64.56141017723263
MODNIC	neopentane	35.12285156	35.12435346244802
UXEQOE	neopentane	51.03755054	50.83676744917119
YAZYEF	isobutane	8.809770745	8.718659688203225
GALCED	propionitrile	42.47361679	42.69121873773993
ODIXEG	ethane	23.74426692	23.80181830854708
QOCRUW	methyl propyl ether	44.64957014	44.59309178695497
KINHAS	ethene	31.69823166	31.655991307298564
MIKJAR	isopropyl alcohol	98.53440589	98.53785285578712
XUVHEB	isopropyl alcohol	52.17762854	52.35658493046483
SAMLAV02	ethane	33.41021927	33.41608473110799
XEXLOD	methane	16.18457058	16.1228126295622
FUNCAT	methyl propyl ether	52.22596571	52.36351349006733
HEKTUO	neopentane	-29.75294683	-29.739588076036146
FUSWIA	ethane	25.13400137	25.158845852234638
TARWEO	methyl isopropyl ether	67.86208178	67.77488014913094
PUQXUV	ethane	43.54688071	43.60587938551013
YARYEV	ethane	18.35244563	18.412508991942317
KUNWEW	ethane	30.94760592	30.957378850630366
XINFUW	acetaldehyde	38.89696316	38.88755194077223
FEWGUL	4,4-dimethyl-1-pentene	21.8871681	22.064116395851443
IBICED	2,3-dimethylbutane	42.04568561	42.13378241095118
EDUSIF	isopentane	27.23271424	27.26675296710667
UTEXAT	ethene	25.56757723	25.552507101369013
GAXWEJ	acetonitrile	64.51206043	64.49487462249074
ISOHEE	methyl tert-butyl ether	54.53293527	54.5514901861621
LASYOU	2,3-dimethylbutane	50.01419776	49.98044048674265
ERUFUS	dimethyl ether	52.84920821	52.84544892553227
LAWGUM	dimethylamine	21.35621182	21.377547342570498
WECJAR	ethene	30.86328355	30.90287531297854
DEGJIK	methyl propyl ether	63.48030173	63.38682370820476
MATVAF	methane	15.56337329	15.553441503323336
NUYWOU	1,5-heptadiene	51.66210481	51.68245267611413
LAWGEW	2,3-dimethylbutane	30.72855067	30.798454159555774
BALMUW01	acetaldehyde	59.10396416	59.075369963467345
EBEMII	4-methyl-4-penten-2-one	81.95292635	81.89737478159961
OFORUX	ethene	29.884069300000004	29.892236149091534
WONZOP	isopropyl alcohol	49.82460634	49.87219712241588
RACZIG	dimethyl ether	39.96439544	39.96376303904965
KIXXOG	ethene	4.392642931	4.372174138560181
HAFQUC	isopentane	52.95357281	53.00376832874341
OJICUG	3-methylpentane	40.48040577	40.59083319992365
QIFLUO	4-hexen-2-one	77.81588107	77.79589817499571
AFITIT	methane	18.60146664	18.542548718285893
UBACUX	neopentane	47.92476762	47.697624043320154
IBICED	1,5-heptadiene	47.76521852	47.782034724173975
QURSEC	dimethyl ether	54.72229557	54.65145254910074
ERUFUS	4-methyl-4-penten-2-one	60.89065917	60.820609754980026
HABRIN	propionitrile	43.48501958	43.62626787855537
XUVHEB	propionitrile	44.42459284	44.41168484412649
AVAQIX	isopropyl alcohol	56.12193638	56.23537018710165
FEZREJ	4-hexen-2-one	101.0923037	101.11133245920242
NEVJEF	methyl propyl ether	51.00840122	50.97792513000316
BAEDTA01	acetonitrile	53.27730252	53.26997975446686
FECZAQ	methyl isopropyl ether	42.31749572	42.19143097755326
BEPMIU	hydrogen cyanide	25.365402600000003	25.326921680076914
GITWIQ	methyl propyl ketone	74.17553692	74.14992086468335
HAFQOW	2,3-dimethylbutane	63.50798883	63.500621427587596
OFERUN02	neopentane	34.33613894	34.38807138717353
RAXDAX	propyl alcohol	11.9645393	12.004921709463723
NUYWOU	ethane	43.046735600000005	43.02426597595821
IBIDAA	neopentane	33.15281205	33.23263414396295
WEBREC	neopentane	57.20888069	57.21478445355675
VUSKAW	4-methyl-4-penten-2-one	36.29879221	36.28812145665046
