MOF	molecule	H	predict
UBACOR	2-pentene	61.12503678	61.899639855694026
OFUYUL	dimethylamine	39.93614887	39.869752796890786
QUJFUX	propene	34.74253886	34.60896563345727
IMACZN01	methane	24.15143898	24.19260854974089
NOCKUM	4,4-dimethyl-1-pentene	63.15293677	63.01581510450304
XINWUO	acetonitrile	25.33485679	25.233976461000264
WALBOC01	ethene	35.58318956	35.60694059276103
WALBOC01	acetaldehyde	47.15481644	47.38153126242123
RUFMUA01	propyl alcohol	66.45655699	66.23838878309789
LAWGEW	methyl tert-butyl ether	27.25129507	27.143707365404456
YARYEV	propionitrile	41.17676731	41.11287203111581
PAMVEG	methyl propyl ketone	68.15619119	68.15739435704802
IMACZN01	4-methyl-4-penten-2-one	19.46770088	19.530674167459626
SAMLAV02	4-hexen-2-one	93.12621428	93.26221414283596
WALBOC01	propyl alcohol	56.19082032	56.019120980758686
FEZREJ	isobutane	41.18913058	41.353227542151856
YUKBIP01	ethylamine	41.24913261	41.284083192439596
DEYDOA	dimethyl ether	45.01916633	45.08117078869781
VUQKUO	methane	18.73839303	18.767695535243803
IXOFAD	dimethylamine	34.37240331	34.353439137790176
SEYDUW	propionitrile	41.12166933	41.195217480783114
IXODUV	hydrogen cyanide	22.52708838	22.59926459408733
QOMDUS	propene	35.18451145	35.14801333154689
TEVZOK	isopropyl alcohol	56.45109283	56.3908202748787
GULPIN	dimethyl ether	50.09046006	50.09149839059311
OTAVOV	4-methyl-4-penten-2-one	55.36440175	55.28547778686157
UVUPOR	3-methylpentane	59.37785217	59.280280766979146
GALCED	propionitrile	42.48980922	42.699290262447576
SAHYOQ04	1,5-heptadiene	34.64961011	34.553603488310394
FAKLOU	methane	14.16564376	14.069732615797543
VONBIK	ethane	30.82058583	30.96346726492437
DUXZIG01	methyl isopropyl ether	37.03451391	36.92237460213279
QESYOD	propyl alcohol	47.48215887	47.56239270627135
SAHYOQ05	isopropyl alcohol	25.64196165	25.82265006198648
XEQRAO	4-methyl-4-penten-2-one	82.48918413	82.45376132426625
CUNWEO	propionitrile	71.59733803	71.45921768415946
KAXQIL	propionitrile	58.57378255	58.76983253626764
FEFCUQ	4-methyl-1-hexene	56.61321615	56.81655399238821
GIMVAA	hydrogen cyanide	23.72073583	23.75937067240406
QAVWAN	isopropyl alcohol	49.45536709	49.56791092961674
OHOLIH	3-methylpentane	76.28595033	76.36240118492972
RUVMAX	3-methylpentane	75.71183541	75.82358144597791
FIGXAW	ethylamine	67.65404534	67.45642010155868
FUTKEL	isopropyl alcohol	58.82460453	58.63176390680692
CESYEF	1,5-heptadiene	84.63389576	84.68880943721528
RIVDEF	acetonitrile	29.98716015	29.925824592867926
GACQAE	ethylamine	36.79943946	37.060952289168455
SAHYOQ04	propionitrile	26.21434288	26.092609846706846
VEJYUF01	dimethylamine	47.34656948	47.400742540016346
XAMDUM07	4,4-dimethyl-1-pentene	46.34621021	46.44639195065989
NUTQEZ	methane	13.93527336	13.957861114962817
FAPTOH	methyl propyl ketone	64.47274497	64.3204233283511
LELMIA01	2,3-dimethylbutane	63.69023129	63.660530509849565
IBUDOZ	propane	45.35982418	45.31808354554375
NOCKUM	propyl alcohol	78.92407028	78.83618455604
SERKEG	ethylamine	33.15844769	33.17165786709367
HEGJUZ	methyl isopropyl ether	59.49783652	59.794360603598435
WALBOC02	dimethyl ether	48.95260728	48.86108659610972
EZABEN	4-hexen-2-one	95.50746346	95.48719578580713
ZERNAN	acetonitrile	57.64604857	57.30690514951644
QOMFAA	2,3-dimethylbutane	65.96982928	66.12192874388974
BETGAK	acetaldehyde	52.75867856	52.70239544839744
LELMIA01	dimethylamine	40.16336643	40.263180199703676
YUBFOR	hydrogen cyanide	20.82488154	20.837853676113706
DIDDOK	3-methylpentane	38.09814818	37.91495861851535
YUBFOR	methane	16.51956211	16.40135910393976
YEZFIU	methyl propyl ketone	57.16339191	57.27674444682897
SAMLAV02	4-methyl-4-penten-2-one	96.43193155	96.36360306054172
GAYFUJ	ethene	25.69579628	25.779117321101996
QUQPIC	ethylamine	46.30278847	46.28852796051414
IBICED	propyl alcohol	49.63702872	49.537837067390576
IBUDOZ	isopropyl alcohol	54.2878328	54.32424491204922
XOVVEK	4-hexen-2-one	70.64187411	71.12076397836526
LAWGIA	neopentane	24.84667494	24.79156700534738
DIDDOK	2-pentene	33.98610842	33.76531472705971
MOYYEF	propene	33.89573781	33.78033385456944
SEFSOM	ethane	27.07575236	27.40415210613638
SAKRED	4,4-dimethyl-1-pentene	51.72321206	51.756436961702086
XUNGUJ	methane	23.28164792	23.368001191953496
XAMDUM07	ethane	35.46534243	35.56433853561576
NUVWIL	dimethylamine	27.02300358	27.126117433562275
BOWQAG	ethylamine	35.06555473	35.246741893636504
YUGLES	4,4-dimethyl-1-pentene	48.79035402	48.66923700913621
