MOF	molecule	H	predict
GITWIQ	propene	43.05815748	43.10917708984031
QEYWUN	acetaldehyde	-24.93137537	-24.944119156031405
XEQRAO	isobutane	45.85405719	45.91610102601197
FUNBAS	3-methylpentane	66.17216594	66.13689157555218
KOMHAW	methane	23.88158879	23.904540047501794
LAGCED	methyl propyl ketone	63.38095396	63.462543416006504
ISOHEE	hydrogen cyanide	28.96142171	29.011226148528333
UKUBIM	1,5-heptadiene	83.11866611	83.11392660302559
XINFUW	methyl isopropyl ether	58.74482928	58.42621305410557
PIJJOI	methyl tert-butyl ether	68.72954399999999	68.71236898952925
GUYLUI01	methyl propyl ether	67.71535115	67.8022662586006
REYCOP	4-hexen-2-one	18.06595436	18.044024679501792
TEVZUQ	propyl alcohol	58.69027297	58.606340738951054
LEMNOH	dimethylamine	13.28830336	13.310413473480946
YARKEJ	propane	44.99293707	45.07579227190661
FIGXAW	acetone	65.47850932	65.3389416108298
QATHOK	acetaldehyde	44.63216366	44.72276152562391
GALCED	4-methyl-1-hexene	63.51336909	63.49496206514013
RAXCOK	dimethylamine	41.79138261	41.82130501964285
FUDQIF	ethane	40.54491598	40.45493446653965
XUGSEY	2-pentene	49.17736183	49.116032857277794
LABJUV	3-methylpentane	64.08185484	64.05614938613182
WIDZOA	acetonitrile	44.71758565	44.73522868764449
YUGLES	methyl propyl ketone	52.78820474	52.71921251817761
NUVWIL	4-hexen-2-one	45.89458943	45.91750878323963
YUBFOR	isopentane	46.68577512	46.70017101852206
BERFIP	methane	26.54965895	26.511504684623123
RAXCOK	ethylamine	41.43183937	41.443623833085866
JAVNIE	methane	16.03252435	16.0552856687632
BETGAK	4-methyl-4-penten-2-one	86.34151120000001	86.34522714648445
BALMUW01	ethene	26.48205176	26.492941944553852
XUNGUJ	propene	45.14035044	45.17600606325116
ECIWUJ	ethylamine	2.185371042	2.196455975390873
BOJCIN	2,3-dimethylbutane	60.68884858	60.71250501837231
DEGJIK	3-methylpentane	69.94253161	69.84850216728584
SERJUV	4-methyl-1-hexene	54.76168589	54.68082762178899
SAHYOQ03	4,4-dimethyl-1-pentene	31.70777054	31.777246355099134
KAXQIL	ethene	39.64163238	39.68447429931895
ICANEH	hydrogen cyanide	37.5202025	37.599801876140646
YUJNOH	propane	45.89569716	45.94008691141647
GEDLIM	methyl propyl ketone	75.30216429999999	75.25444295658508
XUGSEY	isopropyl alcohol	69.76741985	69.77673337571863
UWELIS	4-methyl-4-penten-2-one	76.11398467	76.0729373281321
RAZYIC	4-methyl-1-hexene	68.35185042	68.38161551893909
LIFWEE	methyl isopropyl ether	58.47932785	58.691149358103196
TETZID	methyl propyl ketone	84.72143155	84.50954464075531
TEVZUQ	acetaldehyde	42.16116089	42.238001436652276
OJICUG	2-pentene	34.06278072	34.27323840393711
GIMSIG	2-pentene	46.26450211	46.3845659453338
IBICAZ	methyl isopropyl ether	41.97588475	41.98517768713446
QOMFAA	acetonitrile	61.11978162	61.025707293787136
HAMJOW	methyl propyl ether	52.30597153	52.2151275084449
RAXCOK	4-hexen-2-one	65.43940400000001	65.5364469645184
UXUZAP	methyl isopropyl ether	61.51141646	61.5459730879992
CEGWER	4-methyl-4-penten-2-one	111.2092902	111.25381355086458
FEWGUL	methyl tert-butyl ether	26.34371568	26.42584688446937
XUVHEB	4-methyl-4-penten-2-one	76.16992252	76.09038934211652
GAYFUJ	propyl alcohol	49.71303433	49.72830462831319
WALBOC02	ethylamine	54.10931012	54.21720472910172
TENLIJ	methyl tert-butyl ether	76.56352724	76.6685250453164
VUSKEA	acetaldehyde	24.12116839	24.083495705025356
ISEQIH	methyl propyl ketone	114.6019605	114.63293422601798
MIBQAR18	ethene	13.79673693	13.825237101219695
NEHZIK	ethylamine	37.34177744	37.29596556982681
FUTKEL	ethane	29.71647803	29.762367324203808
HUTTIA	methyl tert-butyl ether	51.81644783	51.79753061745873
SAHYOQ04	4,4-dimethyl-1-pentene	31.78639236	31.752263453982106
KEXKAB	methyl propyl ketone	-38.69145407	-38.71776266106556
FUNCAT	2,3-dimethylbutane	50.5226863	50.63218990522977
AVIMOI	dimethylamine	58.08796129	58.153487561080574
QEFNAQ	acetonitrile	57.53048243	57.67380846420666
ELAFUT	methyl propyl ketone	76.71549955	76.75449970284701
TASXIW	4,4-dimethyl-1-pentene	57.21654720000001	57.37547490729342
FIRVEH	isobutane	48.67587576	48.60794128746349
YEKXET	methane	15.92823705	15.85886468040788
FEWGUL	isobutane	54.27827578	54.27693743760033
HIMSAY	methyl propyl ketone	83.14218879	83.00191841307236
YARYOF	methyl isopropyl ether	45.43343522	45.442472156843344
YARYOF	acetonitrile	30.67771837	30.76632684924868
BALMUW01	acetaldehyde	59.10396416	59.10943097088568
QOMFAA	neopentane	52.17463998	52.06771064584327
PEGBUA	acetone	52.81080045	52.66050124425949
MIBQAR16	dimethyl ether	20.60982303	20.585107533762052
RUCGOM	ethane	30.72999037	30.820907393843544
DEYDOA	acetonitrile	39.29682159	39.23857304268906
DUBWON	ethene	26.16452588	26.15601933506276
LAVSUY	ethene	25.877588	25.852788076566643
JAVNIE	propane	32.70271265	32.97755217337248
LIFWOO	ethane	34.77970998	34.69834846720988
IXODUV	ethylamine	35.15429859	35.12374649263954
XINFUW	methane	15.29674307	15.31190630059319
QEFNAQ	4-methyl-4-penten-2-one	52.49287143	52.54936149595646
REGLOG	dimethyl ether	42.42290098	42.41562436213849
OFUYUL	isopropyl alcohol	47.81215582	47.898310892715315
FEWGUL	acetaldehyde	51.84354215	51.85671741484914
VAZTOG	propane	19.55393964	19.604112406027983
XINFUW	acetonitrile	42.31370533	42.13249930560867
