MOF	molecule	K	predict
UVEXAV	4-hexen-2-one	74206700.0	75959143.94758038
QUQFIS	methyl tert-butyl ether	0.146243	0.1444045487744806
LAWGEW	acetonitrile	5.4600000000000006e-05	5.4908346304803434e-05
SERKEG	propionitrile	0.000425839	0.0004164549922395801
FIQCEN	2-pentene	0.020878400000000002	0.022613760112913488
XEHTUB	dimethyl ether	8.83e-05	9.036388009180959e-05
EXEWAG	dimethyl ether	0.0019582000000000002	0.001921430207410758
DIDDOK	neopentane	0.000982583	0.0010568913092402718
SUHHOT	methane	5.01e-07	5.004360567153295e-07
FAGREM	methyl propyl ketone	0.0254492	0.023730332059835695
RELLAW	methane	1.25e-05	1.2799259344684007e-05
JIVFUQ	isopentane	0.587608	0.6131031379479263
GAXWEJ	4-methyl-1-hexene	1.55e-07	1.537929264881736e-07
ZIDDIB	2-pentene	166.265	163.06102270792383
SEYDUW	dimethyl ether	5.01e-06	5.252343036286963e-06
IBICON	isopropyl alcohol	0.00320307	0.0030492804839736404
HAZNON	dimethylamine	0.149535	0.14689836384917312
XOKHAH	hydrogen cyanide	0.00308047	0.003030308810522951
NISCOJ	2,3-dimethylbutane	1.6e-06	1.7747306738844664e-06
BONWAD	isopropyl alcohol	6.640000000000001e-15	6.48243848396832e-15
BOJCIN	ethane	9.6e-05	9.41041875173798e-05
PAKXIK	dimethylamine	0.013885499999999999	0.015290668232827577
QIFLUO	methyl propyl ketone	0.00945437	0.009871236814415959
GALCED	acetaldehyde	0.00246032	0.0025589643175801618
CUNFOH01	2-pentene	0.000368883	0.00035037931356973566
FERHAN	propane	0.0226862	0.02466235152221654
XOVVIO	isopropyl alcohol	1.06e-06	1.046491813197325e-06
XEXLOD	methyl propyl ketone	0.00334955	0.003230170865704567
XINFUW	ethane	0.00011865799999999999	0.00011819532715147474
OTAVOV	isopropyl alcohol	0.00127754	0.0012651105399635162
UVARIT	4-methyl-4-penten-2-one	0.025438	0.024685653565867296
CUTKOS	acetaldehyde	0.0139571	0.014131353585474002
FAKLOU	ethane	7.47e-05	6.974610009607045e-05
MIBQAR	acetaldehyde	5.6200000000000004e-05	5.575007875541058e-05
LELMIA01	acetonitrile	1.5077	1.5637949243864429
FERHAN	acetonitrile	0.0140208	0.013818431333941925
RACZIG	propene	0.00276279	0.0026784534869018243
IXOFAD	isopropyl alcohol	0.00446369	0.004392168180973136
UXEQOE	isopentane	0.018590799999999998	0.018317281069148077
GOMRAC	isobutane	8824.0	8737.08828956917
ISEQIH	dimethyl ether	146.159	141.66266861188436
YARKEJ	methyl tert-butyl ether	0.000988178	0.0009507743455943116
NASCIV	1,5-heptadiene	4.830000000000001e-13	4.842480240423484e-13
GAYFOD	4-methyl-1-hexene	238.912	239.90776608182261
ZERNAN	2,3-dimethylbutane	6e-07	6.189048661264009e-07
XUGSEY	acetone	3.2776400000000003	3.3352092863224536
ZIDDIB	propionitrile	25.1235	26.753060841285176
QUQPIC	4,4-dimethyl-1-pentene	2.66e-12	2.6510591352555316e-12
MADVUJ	4-methyl-4-penten-2-one	3.23759	3.3316664834371816
PASTOU	neopentane	1.3768799999999999	1.3130041094222509
PIJJOI	propionitrile	0.11471600000000001	0.12385625249557024
SERJUV	ethene	5.02e-05	5.152326822664302e-05
UBUMAH	dimethylamine	0.00213493	0.0022100525221345896
RIVDEF	methyl tert-butyl ether	2.45e-07	2.470838782100753e-07
PEVQEO	neopentane	0.000307619	0.0002910478347844417
YARYEV	acetaldehyde	0.00134158	0.0013055869988225532
KEWZOD	ethylamine	0.0224144	0.022808912911312616
NUTQAV	isobutane	0.00207652	0.0021824961520040733
LAGWEX	4,4-dimethyl-1-pentene	22.6649	23.268636675764586
XOVVIO	methyl propyl ketone	2.7600000000000004e-11	2.8420051343468174e-11
XUNGOD	acetonitrile	0.0112023	0.011438956516635523
WONZUV	propane	0.000301718	0.00029964684532097905
FAPTIB	acetone	0.0788383	0.07627264906498227
FAPTOH	methyl tert-butyl ether	1.84107	2.0042911968443438
ISEQIH	4,4-dimethyl-1-pentene	106.712	107.64080336247146
NARTUX	methyl propyl ether	0.160828	0.15161287445167573
MIDRAT	isopropyl alcohol	4.43e-09	4.347632584767208e-09
FEZREJ	acetonitrile	36.6981	36.52092079060979
TETZID	4,4-dimethyl-1-pentene	0.116907	0.11683583012577621
REGLOG	propionitrile	0.00259929	0.002606870038408807
SAMLAV02	4-methyl-4-penten-2-one	335.968	333.67285735793496
KINKAV	4-hexen-2-one	2369.46	2288.9436175240585
XEHFUL	methane	4.78e-10	4.80044811199808e-10
KAXQOR01	methyl propyl ketone	38.8776	40.63518333852788
QATHOK	ethylamine	0.0343129	0.03445264016935797
UVUPOR	4-hexen-2-one	34.1623	35.723611019866404
EDUSIF	methyl tert-butyl ether	0.0005592759999999999	0.0005713478758539806
YARYOF	acetone	7.01e-05	7.292109877584344e-05
VARRIP	ethylamine	2.2252	2.2780891747999283
