MOF	molecule	H	predict
QOMFAA	acetone	61.31194447	61.30175538426429
IGOCOX	4-methyl-1-hexene	60.45118101	60.457199448804545
GAXWEJ	propene	46.34304762	46.32990231487342
MIBQAR	isopentane	27.19119699	27.269150738531565
GAXWEJ	isobutane	40.80898195	40.956804820923495
LIFWOO	4-methyl-4-penten-2-one	86.95508055	86.95103994499094
BOJCIN	methyl propyl ketone	61.53806411	61.502627799297976
OTAVOV	isobutane	37.13911593	37.29288387446527
MADWAQ	propene	44.12639475	44.20529672701998
LAWGUM	isobutane	23.09384307	23.0650001604947
SENWAL	neopentane	26.46305568	26.366897338365774
PUQYAC	dimethyl ether	50.30813125	50.459621025736595
FECZAQ	neopentane	41.02734812	40.92799060055094
UWELIS	propane	37.54154384	37.523814991325764
VACFUB01	ethane	23.22406439	23.320473229815683
ESEVIH	hydrogen cyanide	32.44424061	32.36331934340836
PAMVEG	2,3-dimethylbutane	35.85032682	35.839381246217755
QUNMUI	propyl alcohol	34.5422299	34.55022968508303
QUQPOI	acetonitrile	66.60923735	66.69002961384146
RAZYIC	dimethylamine	36.29803688	36.31054514113311
LAGCED	isobutane	44.01067753	43.77935658682097
KAVROQ	isopentane	62.26009747	62.567536550525766
KEXKEF	isopropyl alcohol	-29.39145084	-29.4478081027462
LAWGUM	isopropyl alcohol	26.6952451	26.693828942102265
KAYBIX	acetonitrile	35.05333196	35.21039242082604
LIFWEE	neopentane	42.38036359	41.86976235598462
UBACOR	methyl isopropyl ether	66.69366289	66.38003665202946
WIYFAM	hydrogen cyanide	27.70982585	27.68544587488714
VASKOR	dimethyl ether	35.07968691	35.17048954766119
FUSWIA	4-methyl-4-penten-2-one	68.17071016	68.0995422524552
RAXDAX	acetaldehyde	37.9612642	38.04756144201656
LIFWOO	4,4-dimethyl-1-pentene	49.90660233	49.97380289301301
XENKIM	isobutane	37.07217785	37.29129243051375
FUNCAT	acetaldehyde	39.82735155	39.88853738172135
OHOLIH	3-methylpentane	76.28595033	76.366196446161
CUNFOH01	hydrogen cyanide	18.00335411	18.045472996205003
PEVQEO	2-pentene	27.177156800000002	27.353837484514262
CISMAT01	2,3-dimethylbutane	55.68625964	55.62282733451088
PELNEA01	isopropyl alcohol	9.24331243	9.214156703247124
HAFQOW	acetaldehyde	32.7243742	32.796260218463324
HEZKIH	acetone	66.31151649	66.6237206329486
BARZAW	propane	37.85023671	37.54893954291046
XOKHAH	propane	11.77026547	11.916451858754671
HIFTOG	methyl isopropyl ether	46.75277659	46.983582885960374
WIDZOA	isopropyl alcohol	54.50147432	54.335775748155044
SUHHOT	methyl propyl ether	35.74939664	35.63128341365027
SERJUV	dimethylamine	43.39236685	43.28792733966769
ZIKJIO	3-methylpentane	49.95010039	49.95779892470194
XOVVEK	hydrogen cyanide	37.23789658	37.336155965914536
YEGYIU	ethene	14.26929619	14.242237885127686
MIHHOA	ethane	40.21730121	40.26318788256867
QOKCID	isobutane	56.59203883	56.530162535030435
YEZFIU	acetone	45.40093967	45.40447619448507
WALCET	2-pentene	57.18788209	56.67672770900625
IMACZN01	methyl tert-butyl ether	-51.88788009	-51.855857685471854
XUNGUJ	propionitrile	50.37401333	50.36113843533629
