MOF	molecule	K	predict
QATHOK	methyl isopropyl ether	0.0817945	0.08212621547441265
MOYYEF	propionitrile	0.00385758	0.004086895994468414
UBACOR	ethane	0.00080747	0.0007845526956257389
XINHOT	2,3-dimethylbutane	43.4079	42.55596440981036
BIBBUL	isobutane	1.28e-16	1.2946906871027647e-16
GOMRAC	isopropyl alcohol	1968.22	1971.2501180985887
NAKLIW	methyl tert-butyl ether	0.005275899999999999	0.0051508849401538
MADVUJ	3-methylpentane	0.189835	0.182818560270011
VUSKEA	ethane	1.57e-05	1.5717035941341075e-05
FUTKEL	propionitrile	0.18521300000000002	0.1775163280231336
WOWGEU	hydrogen cyanide	0.35491100000000003	0.3549827555425448
SAMLAV03	propyl alcohol	0.129237	0.13596569197599953
XEXLOD	acetone	0.0145085	0.013268837910087459
XEXMEU	4,4-dimethyl-1-pentene	0.20605700000000002	0.1980859806170389
SUJREV	ethane	1.9600000000000002e-05	1.877797414303044e-05
NUTQEZ	isopentane	0.0106663	0.010432192244532144
FIRVEH	1,5-heptadiene	0.47471499999999994	0.47031003747109273
RUMWUS	methyl isopropyl ether	47.4323	46.276506730317614
FUSWIA	methyl tert-butyl ether	5.73189	5.477272830109189
QUNMUI	methyl propyl ketone	0.00039410800000000006	0.0003839384704998601
IBICED	4-hexen-2-one	0.26300500000000004	0.25849889248455116
VUQKOI	4-methyl-1-hexene	0.7946310000000001	0.7847058531917099
SENWAL	ethane	1.98e-05	1.993909360670939e-05
IMACZN01	isopentane	9.87e-10	9.36872729040897e-10
RURQEB	methyl propyl ether	0.0114921	0.011295414122937083
FEWGUL	ethylamine	0.0228433	0.02360303155011537
PUQXUV	methyl isopropyl ether	2.76681	2.40161970256103
BETGAK	dimethylamine	0.012029399999999999	0.012438602769518818
SENWIT	propionitrile	0.268449	0.2526048333444224
FEZREJ	acetonitrile	36.6981	37.47085245683591
FEFCUQ	methyl propyl ether	0.0189563	0.017798128015657697
YEGYIU	acetaldehyde	2.2300000000000003e-11	2.2237555697850875e-11
WALBOC	isobutane	1.08e-12	1.053799255089552e-12
WABTOK	isopentane	1.93e-13	1.9965827063754645e-13
HICVUM	acetonitrile	9.45678	9.049151758428883
HEKTUO	propionitrile	94.7351	100.56890233831429
OFORUX	acetaldehyde	0.00235048	0.0023764448427198393
BONWAD	ethene	2.7399999999999997e-11	2.6477549672097685e-11
XEHTUB	propene	1.56e-06	1.6465670843685e-06
UVEXAV	methyl propyl ether	17468.5	17958.543124373213
JAVNIE	4-methyl-1-hexene	11.8354	12.226515379450158
CEGWER	acetaldehyde	5.86306	5.943694444934837
FERHAN	methyl isopropyl ether	0.53981	0.56455964380157
GOMREG	methyl propyl ketone	14147500.0	14431725.98355634
GULPIN	methyl isopropyl ether	0.0054727	0.006215798247963963
VAGTUU	ethylamine	0.07256069999999999	0.06987688681076334
