MOF	molecule	H	predict
QATHOK	methyl isopropyl ether	54.62464091	54.49366238956616
MOYYEF	propionitrile	36.80993275	37.01499065971161
UBACOR	ethane	34.83990944	34.566701198286786
XINHOT	2,3-dimethylbutane	70.65512144	70.7532682959491
BIBBUL	isobutane	-12.84114062	-12.806426543036368
GOMRAC	isopropyl alcohol	83.17745596	83.24286220475608
NAKLIW	methyl tert-butyl ether	57.99810835	57.988502509770996
MADVUJ	3-methylpentane	69.4559125	69.56404321965465
VUSKEA	ethane	15.124600099999999	15.126726264974268
FUTKEL	propionitrile	56.147085	55.55876559541441
WOWGEU	hydrogen cyanide	63.29792363	63.297329399051705
SAMLAV03	propyl alcohol	67.09513284	66.99719709316179
XEXLOD	acetone	44.82194121	44.47850161323923
XEXMEU	4,4-dimethyl-1-pentene	49.24294151	49.121208532729504
SUJREV	ethane	31.37475942	31.53554229485315
NUTQEZ	isopentane	41.02949862	41.010912841890374
FIRVEH	1,5-heptadiene	83.00921525	82.92899453452262
RUMWUS	methyl isopropyl ether	69.67667688	69.74785939207408
FUSWIA	methyl tert-butyl ether	60.55843998	60.51511527681209
QUNMUI	methyl propyl ketone	52.57807808	52.473338941277774
IBICED	4-hexen-2-one	53.31599503	53.45363116076861
VUQKOI	4-methyl-1-hexene	55.05045173	55.084342703132336
SENWAL	ethane	15.12873664	15.22044893840512
IMACZN01	isopentane	30.31575761	30.14882587409062
RURQEB	methyl propyl ether	66.32927069	66.15914180396264
FEWGUL	ethylamine	52.36274131	52.507779652298005
PUQXUV	methyl isopropyl ether	80.76103228	80.259641456037
BETGAK	dimethylamine	43.11086627	43.187162439905286
SENWIT	propionitrile	51.54445734	51.79533566350916
FEZREJ	acetonitrile	72.69156188	72.8143698955171
FEFCUQ	methyl propyl ether	45.05475863	45.03628552429619
YEGYIU	acetaldehyde	13.76820907	13.889693914034968
WALBOC	isobutane	8.397869264	8.48638656741417
WABTOK	isopentane	8.884087	8.919372999831213
HICVUM	acetonitrile	70.00145803	69.76759122412493
HEKTUO	propionitrile	90.14781285	89.92735413993785
OFORUX	acetaldehyde	37.80905907	37.88130433011964
BONWAD	ethene	6.082199967999999	5.988804681545291
XEHTUB	propene	38.08379898	38.16382993898932
UVEXAV	methyl propyl ether	88.36645456	88.5182476783245
JAVNIE	4-methyl-1-hexene	63.14382214	63.2876706156814
CEGWER	acetaldehyde	66.36663478	66.44360371800337
FERHAN	methyl isopropyl ether	67.15201017	67.17798933927592
GOMREG	methyl propyl ketone	119.06834479999999	118.95776486690723
GULPIN	methyl isopropyl ether	60.58246931	60.74713312053845
VAGTUU	ethylamine	49.347528999999994	49.4307191036728
SAHYOQ03	4-hexen-2-one	39.01739669	38.837773240780926
YUBFOR	isobutane	38.6195474	38.75269124961922
MIBQAR	ethene	13.8208684	13.889894102083707
LOFZUB	acetaldehyde	73.56573739	73.53134114006194
MUVGOA	2-pentene	66.80400313	66.85594378553544
SENWOZ	methyl propyl ether	27.86934102	28.159983525587826
LIFWEE	acetaldehyde	48.64078092	48.695896095956314
QUNMUI	ethylamine	30.4642352	30.4363266518938
NADZEZ	methane	25.45458075	25.352322732837333
FUTKEL	4-hexen-2-one	71.89559706	71.83931406264705
SAHYOQ03	4-methyl-1-hexene	34.22595128	34.236410282691416
ECAHAT	isopentane	37.24529423	37.27088528712196
JOSNAG	ethylamine	69.85417121	69.78017261836607
LELMIA01	acetone	70.27198423	70.22324787644543
BETGAK	ethane	27.71273549	27.61139614643415
QUGNOV	ethane	17.22141866	17.227618730882348
FUNBOG	methyl propyl ether	51.84647047	52.12717859451157
GEDLIM	4-methyl-1-hexene	82.08701273	81.96936022695532
CIGYAU	dimethylamine	23.77525535	23.7640729779569
HAFQUC	propane	35.09747649	34.82296999373741
QEVKOS	ethene	31.80980349	31.70300599970062
IYUJAO	ethene	32.65675457	32.64481475132555
LAWGIA	2,3-dimethylbutane	30.737386400000002	30.687442034238135
DEGJIK	isobutane	51.09088981	51.265889157135625
CUNWEO	3-methylpentane	55.70702529	55.937642029201136
SUJREV	propene	38.4431972	38.77647175734185
UTEWUM	methyl propyl ether	48.43098713	48.55466280364675
ACOLIP	dimethylamine	58.6131557	58.29651436657761
LELMIA01	methane	18.05827848	18.047601284856682
GOMRAC	4-hexen-2-one	127.7921423	127.68914771959268
WALBOC	ethane	38.72657381	38.90347953688813
REGLOG	isopropyl alcohol	61.98874966	61.935486178101094
UBACUX	propyl alcohol	97.47529815	96.94061673486094
FUNCEX	methane	14.94704822	15.050938223828462
VUSKAW	methyl propyl ether	26.3659445	26.35451204530262
FUSWIA	ethane	25.13400137	24.932905281402004
KEXKEF	isopropyl alcohol	-29.39145084	-29.55624774764465
WIYFAM	hydrogen cyanide	27.70982585	27.669264115470828
RIVDEF	4-hexen-2-one	65.38191141	65.41901253321578
FEFDAX	propane	29.89071816	29.582731718784473
EBEMII	ethane	32.67439621	32.713841886233176
FUNCEX	ethylamine	41.40095674	41.412072741434095
VISTUM	1,5-heptadiene	57.3534395	57.41824065632845
DUBWON	acetone	64.10591541	64.22739248654918
YARKEJ	isobutane	53.72904769	53.87217361563317
GAYFOD	hydrogen cyanide	24.49439228	24.495616899943755
UVARIT	2-pentene	68.25566316	67.85880723886291
WONZUV	4-methyl-4-penten-2-one	49.28289953	49.26546764722396
UTEWOG	4-hexen-2-one	72.37414346	72.40337173012456
MIBQAR16	isobutane	23.08418001	23.21258653843101
MIHHOA	propyl alcohol	75.27591706	75.32141559113371
IXODUV	dimethylamine	34.35403669	34.2491309027744
ODODIW	isopropyl alcohol	76.53445106	76.21482327623612
HIFVOI	propane	39.12960052	38.9475120043278
HABRIN	ethane	26.78160802	26.976973631421384
DAGDIZ	ethane	27.83137402	27.768973073622398
RAZYOI	dimethylamine	35.82272433	35.66622677910919
UVARIT	hydrogen cyanide	35.85146289	35.65986706704883
ZESFUY	4-methyl-1-hexene	53.69502682	53.63496222255686
GALCED	methyl propyl ether	47.52390339	47.09757435784054
YUJNOH	acetonitrile	60.76421899	60.80344783804169
ODIXEG	isopropyl alcohol	44.55444910000001	44.4518732643779
YUGLES	acetone	44.51484194	44.36522254763239
BENXUP	acetonitrile	53.11126858	52.69277606821053
RIPNIP	neopentane	52.91303758	52.46235433629429
GOMREG	1,5-heptadiene	124.9650043	124.94880866619872
RUFMUA	propionitrile	53.52233979999999	53.199515003998435
ISOHEE	propane	29.98574174	30.30531270013725
TECTUS	methyl propyl ketone	107.67526399999998	107.52865381608487
QATHOK	ethylamine	54.54376276	54.54726246172497
WEBREC	isopropyl alcohol	56.80897567	56.81005135185214
LOFZUB	ethane	41.0186278	41.07868931245768
ICANAD	neopentane	61.61380545	61.63946878908264
LABJUV	methyl tert-butyl ether	58.93207517	58.98033996555228
AMILUE	propane	49.09440273	48.97791642155286
RURQEB	ethene	32.73566272	32.62623924018409
VARRIP	propyl alcohol	84.64027032	84.62448741765307
ZERNAN	2-pentene	56.18010043	55.94630359624001
MIHHOA	methyl propyl ether	70.69449349	70.63842299785004
FUNCEX	acetonitrile	40.25884656	40.26992080360932
YARYEV	isopropyl alcohol	46.6673008	46.70120454208003
DEYVUA	isopropyl alcohol	48.08970978	47.96648165605082
QIFLUO	4-methyl-1-hexene	74.06532039	73.85901653968313
MADVUJ	4-methyl-4-penten-2-one	75.87073312	75.88512969364352
CEGDUO	methane	19.77012195	19.739618325800304
IXISAJ	2,3-dimethylbutane	66.3055189	66.25110330294532
KINKAV	methyl propyl ether	62.085303700000004	62.21561175587038
UVARIT	4-methyl-4-penten-2-one	78.51886164	78.61057258795357
MEJQEZ	1,5-heptadiene	74.98315792	74.96250062988292
AROFET	methyl propyl ketone	73.10976603	73.34385917951175
IXOFAD	dimethyl ether	29.15791729	29.006896769963078
SAHYOQ03	2,3-dimethylbutane	30.74326226	30.632366140932714
VEJYUF01	acetone	56.36875949	56.33702092112524
GIMVAA	propane	9.607380417	9.612839596025719
ECIWUJ	propene	6.355133903	6.349498232279378
QEVKOS	acetone	56.26136441	56.5693567533744
UWELIS	methane	18.37085231	18.359296458618157
CANRUG	methyl tert-butyl ether	52.91296625	52.97233578426979
VACFOV01	ethene	32.54347913	32.54300585513042
PAPXUB	2-pentene	70.54680879	70.67996904081265
NALWOO	methyl propyl ether	41.74482707	41.90975970935844
YUBFOR	methyl tert-butyl ether	48.5947652	48.68691459072963
RAZYOI	isopropyl alcohol	41.06982077	41.13620829259976
KEXKAB	ethane	24.571086800000003	24.35064894189135
VAHSIH	methyl tert-butyl ether	91.55194245	91.5570886860739
AMUCOB	ethane	31.17703409	31.070380394276498
REYCOP	ethylamine	49.91202294	49.89287465357936
HIMSAY	ethene	35.47512005	35.36404034425227
LIKFOB	methane	15.03443644	15.23855305110746
BUVYEX	methyl propyl ether	45.70209967	45.37121498808575
MIMVEJ	acetaldehyde	49.80563999	49.82682130485617
KAYBUJ	ethane	29.098766100000002	29.021589194740297
NISCOJ	isopropyl alcohol	66.28601725	66.18735683795504
PORVUO	isopentane	63.67688856	63.51036216963065
UBACUX	3-methylpentane	60.37727754	59.95775389980613
VUQKUO	ethane	28.5383745	28.699071083769137
CUMDIY	4-methyl-4-penten-2-one	95.89354152	95.87567682358797
PORVUO	propyl alcohol	71.78661309	71.7411134025423
YAZYEF	methyl propyl ether	47.86463177	47.88847081194599
XUNGOD	acetaldehyde	44.00486243	44.10785274312799
LIFWEE	isopropyl alcohol	56.41677418	56.33319915933511
GEHSAN	1,5-heptadiene	61.70460642	61.68418030246282
EZABEN	methyl propyl ether	54.316870200000004	54.34815024563784
XINWUO	methyl isopropyl ether	40.50537184	40.69230752408034
BAEDTA01	methyl isopropyl ether	68.2837452	68.3700166976029
FEFCUQ	methyl isopropyl ether	47.17087969	47.04846205965739
LAGCED	hydrogen cyanide	32.40702894	32.28591966279114
UTEWOG	propane	36.45813538	36.436475027091376
FUNBAS	methane	21.38382081	21.18525884251037
XUWVEQ	methyl propyl ether	81.57877049999999	81.36231788727495
SEYDUW	isopentane	4.84679568	5.0258702682053675
EKOPOK	methyl propyl ether	65.00127727	65.25258378254948
AGARUW	neopentane	55.55575093	55.59456907436617
ERUFUS	acetonitrile	47.4005652	47.55750236074218
LIFWEE	4-methyl-1-hexene	53.53971711	53.81246496496746
OVICUS	neopentane	69.15913843	68.94656913992438
EDUSIF	propionitrile	23.52683872	23.696533953036845
GACQAE	propionitrile	41.24620686	41.073183252026375
HUHJAW	propionitrile	54.91932929	54.8496336715097
QOJVAM	propene	43.44600696	43.310897701436865
PEVPUD	propene	17.30657199	17.45664845846018
LAWGUM	4-methyl-4-penten-2-one	36.39992983	36.403570165899396
VUQKOI	isopropyl alcohol	49.68366068	49.76300757834021
